
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
9.041455579357125e-17, 2.589243954599969e-09, 1.0123383560974835e-19, 0.00036299651477164575, 5.9076034069595595e-21, 8.768436879335208e-10, 1.748288081963825e-08, 3.231972776472533e-05, 6.591239749708666e-09, 3.298595642498219e-05, 9.285474174527392e-12, 6.461123471338163e-07, 1.084156234684713e-11, 8.25002110840099e-12, 1.4954638166281384e-14, 2.903823259175047e-14, 1.0004459653751934e-07, 9.995542334212662e-08, 0.00036300000001
1.0760836646026995e-16, 2.8246035273319014e-09, 1.2047451764337807e-19, 0.00039599619804812415, 7.670285734406837e-21, 9.56461885277758e-10, 1.7484302031032756e-08, 3.231947829557493e-05, 6.590862744439196e-09, 3.2986269231734596e-05, 9.286303817079683e-12, 6.460444249646823e-07, 1.1828138751959077e-11, 9.00082448245517e-12, 1.7798578718982667e-14, 3.1677214872691166e-14, 1.0005313028377472e-07, 9.994689792950602e-08, 0.00039600000001
1.2628571321770551e-16, 3.0595252290367297e-09, 1.413469902477503e-19, 0.0004289958819334194, 9.751749870510704e-21, 1.0359081255698956e-09, 1.7485958505706024e-08, 3.231922621439175e-05, 6.590744409288189e-09, 3.298658119283472e-05, 9.287324632256206e-12, 6.459789710913666e-07, 1.2815069197131907e-11, 9.751803253618199e-12, 2.0890787845093315e-14, 3.431187199598314e-14, 1.0006372413516054e-07, 9.993631644663309e-08, 0.00042900000001
1.464508565655782e-16, 3.294355168098966e-09, 1.6387783120318837e-19, 0.00046199556594886317, 1.217882147243635e-20, 1.1153153977495683e-09, 1.748754925371903e-08, 3.2318975509141745e-05, 6.590585931191937e-09, 3.298689308854445e-05, 9.288487153050028e-12, 6.459124175534222e-07, 1.3801982636471528e-11, 1.050288555993268e-11, 2.423012489049122e-14, 3.6945368040582713e-14, 1.0007324460360731e-07, 9.992680900484696e-08, 0.00046200000001
1.6810856614666457e-16, 3.5291424387783587e-09, 1.8806730792488298e-19, 0.0004949952500238742, 1.4978475447347668e-20, 1.194705193672525e-09, 1.7488796241165794e-08, 3.2318725862110386e-05, 6.59068689166702e-09, 3.298720526869151e-05, 9.289266224845925e-12, 6.458446908682224e-07, 1.47890423036715e-11, 1.1253913791081082e-11, 2.7817358167362096e-14, 3.957814226298957e-14, 1.0008191825102073e-07, 9.99181488000507e-08, 0.00049500000001
1.9125749383911038e-16, 3.763769349446562e-09, 2.1390730229698434e-19, 0.0005279949343550488, 1.8176977598134422e-20, 1.2739981723260793e-09, 1.7490358799490548e-08, 3.231847543541678e-05, 6.590545716860794e-09, 3.298751687491047e-05, 9.290474241643654e-12, 6.457781685763046e-07, 1.577625260800673e-11, 1.2005263639568957e-11, 3.165263365493299e-14, 4.220861250809081e-14, 1.000913827528356e-07, 9.990870067899725e-08, 0.0005280000000100001
2.1590320778009222e-16, 3.998450732279901e-09, 2.414142105116523e-19, 0.0005609946186168526, 2.180152704174817e-20, 1.3533053965102759e-09, 1.7491860527388303e-08, 3.23182248614172e-05, 6.5904031768087e-09, 3.2987828611396634e-05, 9.291328084426605e-12, 6.457117883571219e-07, 1.6763648551603732e-11, 1.2756605590294806e-11, 3.573614891900495e-14, 4.4840627683258774e-14, 1.001010643300358e-07, 9.989903770682938e-08, 0.00056100000001
2.4202720884703795e-16, 4.232893069621261e-09, 2.705504401292049e-19, 0.0005939943032105392, 2.5877277830035963e-20, 1.4325184802214333e-09, 1.7493588354332294e-08, 3.231797447591437e-05, 6.590240058610129e-09, 3.2988139787806835e-05, 9.292313604044463e-12, 6.456453666952749e-07, 1.7751335087999905e-11, 1.350847280830408e-11, 4.0067287009786365e-14, 4.7468814269962235e-14, 1.0011038302842171e-07, 9.988973868136097e-08, 0.00059400000001
2.6965997958625407e-16, 4.467486124787679e-09, 3.013723283411399e-19, 0.0006269939876095134, 3.043368141252413e-20, 1.5117751785332435e-09, 1.7495045627862666e-08, 3.231772355060596e-05, 6.590316348441168e-09, 3.2988451428894533e-05, 9.293585880907594e-12, 6.455790818267119e-07, 1.87392582304945e-11, 1.4259979232837738e-11, 4.464641241365106e-14, 5.009971281296618e-14, 1.001201522760297e-07, 9.987999191641414e-08, 0.0006270000000100001
2.987967848200241e-16, 4.702301025050047e-09, 3.3388607922560877e-19, 0.0006599936717382388, 3.549664762668965e-20, 1.5910797096062728e-09, 1.749654150654207e-08, 3.231747346173373e-05, 6.590131508013964e-09, 3.29887633010493e-05, 9.294630387514352e-12, 6.455121744040463e-07, 1.9726788321632405e-11, 1.5011949351916572e-11, 4.947360663058787e-14, 5.273201074278451e-14, 1.0012930810470811e-07, 9.987085888521981e-08, 0.00066000000001
