
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
4.386241415208028e-22, 7.0626080145891955e-09, 1.0664538098974984e-10, 1.0255976867391285e-05, 3.715763587705118e-22, 2.4387567186167257e-05, 4.32195507860615e-12, 7.375905706885098e-07, 4.654196504257372e-06, 5.064684412223695e-06, 3.5240482346767155e-16, 2.0916916967507667e-07, 2.3802642455356823e-16, 2.0875631641739824e-17, 7.4921828494747e-21, 1.805723881194983e-15, 9.80110140230357e-12, 0.0010202934945300823, 3.9904533218025604e-05
4.367883128993457e-22, 7.0621531468700725e-09, 1.0663851241791826e-10, 1.0256006090180062e-05, 3.8988787741420477e-22, 2.4387546871397913e-05, 4.535460351823826e-12, 7.375920716392683e-07, 4.654205976099703e-06, 5.314853530578057e-06, 3.880804642524666e-16, 2.0916929486037239e-07, 2.4874162405039427e-16, 2.293013960121773e-17, 7.878030353416787e-21, 1.805611112019731e-15, 9.800473641098336e-12, 0.0010203588485830878, 4.0154731772760194e-05
4.348713813957782e-22, 7.061722237331203e-09, 1.066320057491292e-10, 1.0256036498065514e-05, 4.0905777935017747e-22, 2.4387525626060176e-05, 4.759133606572062e-12, 7.375936389521554e-07, 4.654215863174333e-06, 5.576934846190462e-06, 4.272995820575759e-16, 2.0916941893322137e-07, 2.598595708363477e-16, 2.5175214850325127e-17, 8.282039384672358e-21, 1.80550463793258e-15, 9.799873053018061e-12, 0.0010204213815729283, 4.041684372002536e-05
4.328870156892867e-22, 7.0613128086723005e-09, 1.0662582340223454e-10, 1.0256068148521697e-05, 4.29153405763494e-22, 2.438750339920039e-05, 4.993459001394641e-12, 7.375952749662587e-07, 4.654226186012687e-06, 5.851495566255576e-06, 4.704107724536051e-16, 2.0916955151323036e-07, 2.714108804399985e-16, 2.76295505230018e-17, 8.70560693820176e-21, 1.805403820155345e-15, 9.799297695603732e-12, 0.001020481294744858, 4.069143632497472e-05
4.308445119555937e-22, 7.060926465997741e-09, 1.066199897037161e-10, 1.0256101094411374e-05, 4.501924133310486e-22, 2.438748013866919e-05, 5.238945295967027e-12, 7.375969829174978e-07, 4.654236963099234e-06, 6.139129913311963e-06, 5.177969206122778e-16, 2.0916970238201373e-07, 2.833991532631178e-16, 3.0310741914171956e-17, 9.149125894370579e-21, 1.8053090973435084e-15, 9.79876463585352e-12, 0.0010205368096515108, 4.0979103863519214e-05
4.287163249267961e-22, 7.060559493853523e-09, 1.0661444831352092e-10, 1.025613536091048e-05, 4.722415254118534e-22, 2.4387455825790127e-05, 5.496123607572216e-12, 7.375987671815951e-07, 4.654248216065957e-06, 6.440460434457517e-06, 5.698782287582183e-16, 2.0916984587286524e-07, 2.958469947568967e-16, 3.323982230201716e-17, 9.613985796780916e-21, 1.805219516773326e-15, 9.798256889006585e-12, 0.0010205896939913634, 4.1280468908464654e-05
4.265221566736322e-22, 7.06021233064428e-09, 1.066092061709314e-10, 1.0256171016921225e-05, 4.953507689958932e-22, 2.4387430392187207e-05, 5.765550390446392e-12, 7.376006284189211e-07, 4.6542599667138365e-06, 6.756139277311234e-06, 6.271160275039877e-16, 2.0917000509023276e-07, 3.087588791615375e-16, 3.6437528803939395e-17, 1.0101240255305445e-20, 1.8051351987080873e-15, 9.797763250307444e-12, 0.0010206411141528869, 4.159618367688967e-05
4.242366100827255e-22, 7.059885467878868e-09, 1.0660427066516251e-10, 1.0256208095755855e-05, 5.195384695069705e-22, 2.4387403805213136e-05, 6.047813165120812e-12, 7.376025727556403e-07, 4.6542722352683915e-06, 7.086849680858046e-06, 6.900173218211104e-16, 2.0917016500986672e-07, 3.221328324660552e-16, 3.992544089246077e-17, 1.0611297265895421e-20, 1.8050562772227e-15, 9.797312034565671e-12, 0.0010206881198352395, 4.1926931441680057e-05
4.2188374775977898e-22, 7.059575294944712e-09, 1.0659958700183895e-10, 1.0256246656146066e-05, 5.449042327214293e-22, 2.4387376009249783e-05, 6.343516786536548e-12, 7.376046029434473e-07, 4.654285045963234e-06, 7.43330739319887e-06, 7.591375227158417e-16, 2.0917033314572368e-07, 3.360042735971621e-16, 4.373150602617262e-17, 1.1146757667653833e-20, 1.8049818362622666e-15, 9.79687304524711e-12, 0.0010207338559777945, 4.227342801027443e-05
4.1944615412735876e-22, 7.0592810447261e-09, 1.0659514384880188e-10, 1.0256286752832801e-05, 5.714580052762467e-22, 2.438734694981798e-05, 6.653306175569647e-12, 7.376067228028715e-07, 4.654298422511204e-06, 7.796262250095214e-06, 8.350876949999216e-16, 2.0917051287495766e-07, 3.5037461565185743e-16, 4.7881728494011177e-17, 1.1706821529343858e-20, 1.8049116884085734e-15, 9.796472676016516e-12, 0.001020775572056844, 4.2636423273821466e-05
4.169171402289305e-22, 7.059004753895754e-09, 1.0659097187520543e-10, 1.0256328423664688e-05, 5.992912810021519e-22, 2.4387316584578352e-05, 6.9778496776530574e-12, 7.376089369237309e-07, 4.654312387176477e-06, 8.176499810808902e-06, 9.185377984772114e-16, 2.0917069465174446e-07, 3.6525171936434087e-16, 5.2404799979777616e-17, 1.2293903996993864e-20, 1.8048463705289052e-15, 9.796088498051513e-12, 0.001020815604308704, 4.301670283010137e-05
4.143075486695173e-22, 7.058742955132473e-09, 1.0658701864829894e-10, 1.0256371744832201e-05, 6.284291246253428e-22, 2.4387284837862402e-05, 7.317852107665972e-12, 7.376112464330789e-07, 4.654326967477086e-06, 8.574843003053041e-06, 1.0102239253083099e-15, 2.0917090084803387e-07, 3.806399478044961e-16, 5.733126112616774e-17, 1.2908553880494663e-20, 1.804784990736963e-15, 9.795716690863685e-12, 0.0010208543504863555, 4.341508968372407e-05
4.1161640094112203e-22, 7.05849645297209e-09, 1.0658329635565168e-10, 1.025641673114192e-05, 6.589820610413459e-22, 2.4387251690269272e-05, 7.674050177550953e-12, 7.376136591018884e-07, 4.654342186946216e-06, 8.992154003876557e-06, 1.110953961724362e-15, 2.0917109446085274e-07, 3.965748991897704e-16, 6.269881432306214e-17, 1.3553075355775708e-20, 1.804727771063779e-15, 9.79537236311767e-12, 0.0010208902356435995, 4.383244602728351e-05
4.0882982741148706e-22, 7.058264463322324e-09, 1.0657979346712166e-10, 1.025646346655252e-05, 6.909661823754656e-22, 2.4387217051675148e-05, 8.047216412297894e-12, 7.376161765411533e-07, 4.654358071658551e-06, 9.429335975089848e-06, 1.2216149067995628e-15, 2.091713118873802e-07, 4.13032019391006e-16, 6.853860841256442e-17, 1.4227834556158684e-20, 1.804674541538523e-15, 9.795042381672702e-12, 0.001020924628025172, 4.426967510732309e-05
4.059526041172443e-22, 7.0580465925884445e-09, 1.0657650362527877e-10, 1.02565119807058e-05, 7.244835907942991e-22, 2.4387180887534256e-05, 8.438157805170858e-12, 7.376188039127155e-07, 4.654374649670711e-06, 9.887335141549506e-06, 1.3431801559970123e-15, 2.0917152599658962e-07, 4.3003627108682956e-16, 7.489216148196186e-17, 1.4934967315395426e-20, 1.804625181080056e-15, 9.794739959570853e-12, 0.001020956150063849, 4.472772317915028e-05
4.0298169929029013e-22, 7.057840901029333e-09, 1.0657339764909619e-10, 1.025656234333674e-05, 7.596007144963428e-22, 2.4387143121501465e-05, 8.847719778909181e-12, 7.376215445240887e-07, 4.6543919490794985e-06, 1.0367142744639215e-05, 1.4767182303283695e-15, 2.0917175478403307e-07, 4.476074528464734e-16, 8.18036466776049e-17, 1.5675877853771224e-20, 1.8045792041836725e-15, 9.794450049816795e-12, 0.0010209863697438581, 4.520758155473137e-05
3.9991811157460457e-22, 7.057649577709757e-09, 1.0657050853967302e-10, 1.0256614587499883e-05, 7.963937338238597e-22, 2.438710370759009e-05, 9.276794970458253e-12, 7.376244051604324e-07, 4.654409995133714e-06, 1.086979726444117e-05, 1.6234033067814977e-15, 2.0917198380473594e-07, 4.657408549134542e-16, 8.931605329065376e-17, 1.6452172757615648e-20, 1.8045372111742593e-15, 9.79417649145482e-12, 0.0010210148866241849, 4.571028874809818e-05
3.967781608367724e-22, 7.0574694215369e-09, 1.0656778825799315e-10, 1.0256668788499518e-05, 8.349388163139202e-22, 2.4387062562832196e-05, 9.726306386553162e-12, 7.376273884520008e-07, 4.654428818820307e-06, 1.139638658838458e-05, 1.7845222321127687e-15, 2.0917223379526728e-07, 4.844625294786066e-16, 9.748166730857052e-17, 1.7265459992039222e-20, 1.8044983732525582e-15, 9.793922085395729e-12, 0.0010210414084171207, 4.623693272290994e-05
3.9350773276868393e-22, 7.057301388588547e-09, 1.065652510050299e-10, 1.025672498032935e-05, 8.75311526144766e-22, 2.4387019639759432e-05, 1.019723365983241e-11, 7.376304990793511e-07, 4.654448449545835e-06, 1.1948050449361092e-05, 1.9614898989743253e-15, 2.0917248676477022e-07, 5.037412170787701e-16, 1.0634485067020017e-16, 1.8118201949823472e-20, 1.804462948759677e-15, 9.79368217916589e-12, 0.0010210664198673928, 4.6788653247034496e-05
3.9016973665016255e-22, 7.057143670531333e-09, 1.065628693693149e-10, 1.025678321738983e-05, 9.17621926860958e-22, 2.4386974870020277e-05, 1.0690592636101502e-11, 7.376337421710485e-07, 4.6544689163820775e-06, 1.252598283072404e-05, 2.1558575363837767e-15, 2.0917274863830132e-07, 5.23606123272006e-16, 1.159658836411446e-16, 1.9011021765312244e-20, 1.8044304856378847e-15, 9.793461417371272e-12, 0.0010210894364950862, 4.736664435924475e-05
3.867192609766558e-22, 7.0569986793287246e-09, 1.0656067995956603e-10, 1.0256843552792566e-05, 9.619360755154415e-22, 2.438692818186707e-05, 1.1207455726225056e-11, 7.376371229881604e-07, 4.654490248215257e-06, 1.3131434572113826e-05, 2.369329561301787e-15, 2.0917302457066465e-07, 5.440591352881253e-16, 1.2640378140558435e-16, 1.994614765166577e-20, 1.8044016192331278e-15, 9.793244040010268e-12, 0.0010211121012756376, 4.797215695336863e-05
3.8316086986162743e-22, 7.05686324553101e-09, 1.0655863497262006e-10, 1.0256906035399351e-05, 1.008357369206423e-21, 2.4386879511418976e-05, 1.1748943737902434e-11, 7.37640646503983e-07, 4.6545124772054516e-06, 1.3765716079623172e-05, 2.603776456951147e-15, 2.0917331129155245e-07, 5.651011594512505e-16, 1.3772147941381928e-16, 2.0925757061310212e-20, 1.804375543994783e-15, 9.793052414675415e-12, 0.0010211320818639205, 4.860650148548535e-05
3.795182473253387e-22, 7.056738489606865e-09, 1.0655675113165573e-10, 1.025697069683626e-05, 1.0570014601897412e-21, 2.4386828804372284e-05, 1.231622784939915e-11, 7.376443163775098e-07, 4.654535633025953e-06, 1.443020017488249e-05, 2.8612507843942794e-15, 2.091735977718753e-07, 5.867438054064936e-16, 1.4998915734621721e-16, 2.1952284180270055e-20, 1.804352559567774e-15, 9.792862247232375e-12, 0.0010211519112122878, 4.927105081002681e-05
3.757883652343011e-22, 7.056624036890878e-09, 1.0655502299362503e-10, 1.0257037607121109e-05, 1.107963998947406e-21, 2.438677596924398e-05, 1.291053854497943e-11, 7.376481374477594e-07, 4.654559747217039e-06, 1.5126325010567969e-05, 3.1440064263161385e-15, 2.091739067278081e-07, 6.089842987791216e-16, 1.6327845152220385e-16, 2.3027749675951236e-20, 1.804332581231747e-15, 9.79269981664583e-12, 0.0010211688489625502, 4.996724315092217e-05
3.719359890514716e-22, 7.056518311813628e-09, 1.065534264042139e-10, 1.0257106787204735e-05, 1.1613515991722074e-21, 2.438672096170093e-05, 1.3533161832141053e-11, 7.37652115395886e-07, 4.654584850508256e-06, 1.5855597270481926e-05, 3.4545167248039134e-15, 2.0917421568756894e-07, 6.31814168241972e-16, 1.7766430607781506e-16, 2.4154403304910876e-20, 1.804315207552043e-15, 9.79253695663021e-12, 0.0010211858320564543, 5.069658521421567e-05
3.6799799222480906e-22, 7.056422315707348e-09, 1.0655197699027081e-10, 1.0257178302866173e-05, 1.2172840717717719e-21, 2.4386663687976992e-05, 1.4185453950952705e-11, 7.376562562659677e-07, 4.654610972389052e-06, 1.661959533647025e-05, 3.79549893865708e-15, 2.0917455100270397e-07, 6.552374580215543e-16, 1.9323034307284564e-16, 2.5334770493614613e-20, 1.8043007332117797e-15, 9.79238866317371e-12, 0.0010212012966363412, 5.146065544889406e-05
3.6395675344133913e-22, 7.056335850556923e-09, 1.0655067127842122e-10, 1.0257252164728241e-05, 1.275879643377421e-21, 2.438660410939024e-05, 1.4868823476812087e-11, 7.376605614520559e-07, 4.654638145766576e-06, 1.741997280451885e-05, 4.1699326167872715e-15, 2.0917488294010693e-07, 6.792499289300366e-16, 2.100635813242289e-16, 2.657261545299655e-20, 1.8042890980901497e-15, 9.792254999159913e-12, 0.0010212152360062018, 5.226110746298082e-05
3.5983263810829507e-22, 7.0562586801524234e-09, 1.0654950601249536e-10, 1.0257328421372268e-05, 1.337273416077767e-21, 2.4386542145881502e-05, 1.558475095962725e-11, 7.376650394226524e-07, 4.654666398355317e-06, 1.8258461970373556e-05, 4.581089519752982e-15, 2.091752264202933e-07, 7.038505301267738e-16, 2.2825794881356637e-16, 2.786830736424109e-20, 1.804280262676949e-15, 9.792135934329344e-12, 0.0010212276531968807, 5.309967360229034e-05
3.555895830256901e-22, 7.05618928672795e-09, 1.0654845825603048e-10, 1.0257407109318391e-05, 1.4015918333529191e-21, 2.438647773020471e-05, 1.6334793853415413e-11, 7.376696927504431e-07, 4.654695762789515e-06, 1.9136877628713783e-05, 5.03256293159729e-15, 2.0917558085063732e-07, 7.290306564511586e-16, 2.479112600925597e-16, 2.922572562311715e-20, 1.804273835729581e-15, 9.79202955744347e-12, 0.001021238747425802, 5.3978168699587005e-05
3.512615309723756e-22, 7.056128763912102e-09, 1.0654754427251557e-10, 1.0257488251591557e-05, 1.4689683459074206e-21, 2.4386410802202334e-05, 1.7120568397479477e-11, 7.376745272552445e-07, 4.6547262659537205e-06, 2.0057121002282878e-05, 5.52829233501381e-15, 2.091759440533599e-07, 7.54780382016037e-16, 2.691272288101282e-16, 3.064768617748873e-20, 1.804270129558533e-15, 9.791924611123945e-12, 0.0010212496926947001, 5.4898494002263475e-05
3.468353869882882e-22, 7.056076977326911e-09, 1.0654676230152653e-10, 1.0257571897234454e-05, 1.5395641932488186e-21, 2.4386341276635336e-05, 1.7943796624402202e-11, 7.376795470190802e-07, 4.654757937478588e-06, 2.102118381702581e-05, 6.072611251608254e-15, 2.0917633633555702e-07, 7.810969053552728e-16, 2.9201889432280656e-16, 3.2137585870499535e-20, 1.8042691136936114e-15, 9.791827635549485e-12, 0.001021259806871471, 5.5862641287038265e-05
3.4232706670426547e-22, 7.056033758313375e-09, 1.0654610970951675e-10, 1.0257658032125437e-05, 1.6135239835609644e-21, 2.4386269128096704e-05, 1.880624820325481e-11, 7.37684754997363e-07, 4.654790805071062e-06, 2.2031152701951154e-05, 6.670265112810377e-15, 2.0917672313436216e-07, 8.079659666199124e-16, 3.167023887915881e-16, 3.369847662444132e-20, 1.8042707487801314e-15, 9.791745197537167e-12, 0.0010212684049943634, 5.687269717057772e-05
3.377176914924727e-22, 7.055997646738229e-09, 1.0654556439630392e-10, 1.0257746689966717e-05, 1.6909983888254739e-21, 2.4386194283119977e-05, 1.9709791879263372e-11, 7.376901579696963e-07, 4.6548248939025935e-06, 2.3089213593967e-05, 7.326467466731863e-15, 2.0917712042400853e-07, 8.353714598893031e-16, 3.4330028242692666e-16, 3.533522643596387e-20, 1.8042746670541926e-15, 9.791668766596374e-12, 0.0010212763767208236, 5.7930847625371526e-05
3.330308090019236e-22, 7.055969799845036e-09, 1.0654514397048401e-10, 1.0257837881457154e-05, 1.772183038122628e-21, 2.4386116687203055e-05, 2.065639492769322e-11, 7.376957581922717e-07, 4.65486022929734e-06, 2.4197656539610867e-05, 8.046944587388762e-15, 2.0917752663647657e-07, 8.63310026060535e-16, 3.7194806454874357e-16, 3.704866030418351e-20, 1.8042811803352426e-15, 9.791606753669337e-12, 0.0010212828447437974, 5.9039382710635076e-05
3.2826163819319065e-22, 7.055950100745734e-09, 1.0654484655241628e-10, 1.0257931618039311e-05, 1.8572276761134647e-21, 2.4386036284735036e-05, 2.164811434815608e-11, 7.377015589313327e-07, 4.654896834856023e-06, 2.535888062747923e-05, 8.837980743088285e-15, 2.0917794497225208e-07, 8.91755840220796e-16, 4.0278002624482754e-16, 3.8843551892086636e-20, 1.8042902819297075e-15, 9.791545964434361e-12, 0.0010212891852137346, 6.02007015284772e-05
3.2339552830456427e-22, 7.0559384445404515e-09, 1.0654467044133601e-10, 1.0258027901374127e-05, 1.9463289687013416e-21, 2.4385953028491398e-05, 2.2687093696658495e-11, 7.377075647168908e-07, 4.654934731720926e-06, 2.6575399190915304e-05, 9.706469155753407e-15, 2.0917837379898625e-07, 9.206960156546968e-16, 4.3594408874495444e-16, 4.072404667773247e-20, 1.8043019386279257e-15, 9.791499489756729e-12, 0.001021294032692479, 6.141731741605969e-05
3.184662087850285e-22, 7.055934769783147e-09, 1.0654461503346449e-10, 1.025812672264866e-05, 2.039670216269699e-21, 2.4385866880047524e-05, 2.3775588828092495e-11, 7.37713778539134e-07, 4.654973939147654e-06, 2.7849845248063504e-05, 1.0659980249340859e-14, 2.0917880783900097e-07, 9.501077704664548e-16, 4.715923174937827e-16, 4.2694012011476957e-20, 1.8043161466492636e-15, 9.791454119660127e-12, 0.0010212987650037738, 6.269186338498528e-05
3.1345850558538187e-22, 7.055937627518656e-09, 1.0654465824766899e-10, 1.0258228079505639e-05, 2.137464847668526e-21, 2.4385777794653226e-05, 2.4915960889708336e-11, 7.377202018567144e-07, 4.655014475094332e-06, 2.9184977183335328e-05, 1.1706822715677114e-14, 2.0917925359109253e-07, 9.799743041878942e-16, 5.098885136317143e-16, 4.476008589238583e-20, 1.8043325256297396e-15, 9.791420968407037e-12, 0.0010213022228608047, 6.402709781968629e-05
3.0837263171809846e-22, 7.0559482492053504e-09, 1.065448185190312e-10, 1.025833195133166e-05, 2.239924675449681e-21, 2.438568574254379e-05, 2.6110684115649325e-11, 7.37726838910857e-07, 4.655056352388181e-06, 3.058368474183492e-05, 1.2856116759870745e-14, 2.091797071724879e-07, 1.0102729860868003e-15, 5.510029341865216e-16, 4.692256098864379e-20, 1.8043514206906433e-15, 9.791401866518684e-12, 0.001021304215302878, 6.542591044714625e-05
3.0320882533289e-22, 7.055966651487884e-09, 1.0654509645936845e-10, 1.0258438320082154e-05, 2.347271743222196e-21, 2.438559069291525e-05, 2.7362354040855702e-11, 7.377336899267202e-07, 4.65509958461956e-06, 3.2048995262500244e-05, 1.4117874851693675e-14, 2.091801693577004e-07, 1.0409796638688518e-15, 5.95114518870426e-16, 4.918816066964652e-20, 1.804372822219445e-15, 9.7913704125462e-12, 0.0010213074961587065, 6.689132859087445e-05
2.9800183431511735e-22, 7.055991315275289e-09, 1.0654546895923862e-10, 1.0258547153409083e-05, 2.4597345717639157e-21, 2.4385492628619166e-05, 2.8673677161947898e-11, 7.37740757170857e-07, 4.655144179615458e-06, 3.358408024674751e-05, 1.5503080406747665e-14, 2.0918063822230243e-07, 1.0720671423595938e-15, 6.424102271568688e-16, 5.156170477356466e-20, 1.8043963529405762e-15, 9.791363962200852e-12, 0.0010213081689746779, 6.842652372266787e-05
