
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
4.314752532651197e-22, 1.4064636692478862e-09, 2.1237601405643095e-11, 2.9510637101352137e-05, 1.198062749633117e-21, 5.1554405671000025e-06, 1.3610075173650789e-11, 1.960244111644191e-06, 1.2369140344471865e-05, 3.0189349394331692e-05, 6.615173399782613e-15, 2.794572234088585e-06, 4.850535285160465e-16, 2.6262318857913247e-16, 2.5094502147533947e-20, 9.566688958200586e-16, 9.242750643496961e-12, 0.0010819290042229828, 6.765e-05
4.399193370343154e-22, 1.4093500603022156e-09, 2.1281185910563467e-11, 2.9627694525665924e-05, 1.2354916069905113e-21, 5.038714311124933e-06, 1.3693375919657234e-11, 1.9684018016088068e-06, 1.2420615368148561e-05, 3.018340299773494e-05, 6.654348298900868e-15, 2.80018769582239e-06, 4.924952020743443e-16, 2.6658828989366527e-16, 2.5878443239332887e-20, 9.62621615381897e-16, 9.476269144155448e-12, 0.0010552676214528548, 6.765e-05
4.486064297882394e-22, 1.4122239607769515e-09, 2.1324581807731976e-11, 2.9744740971973644e-05, 1.2747154949480787e-21, 4.92200811289997e-06, 1.3776871878464267e-11, 1.976559491685492e-06, 1.2472090392532421e-05, 3.0177467578948165e-05, 6.693604352028707e-15, 2.805783110951851e-06, 5.001458877673808e-16, 2.706642103162111e-16, 2.6699980381103263e-20, 9.685821089695332e-16, 9.720737825852455e-12, 0.0010287284956297085, 6.765e-05
4.57551097674795e-22, 1.4150848561541445e-09, 2.1367781327927577e-11, 2.9861776411238555e-05, 1.315863345856072e-21, 4.805322370338953e-06, 1.386056551886096e-11, 1.984717181854766e-06, 1.2523565417500516e-05, 3.017154316700554e-05, 6.7329427398630076e-15, 2.8113580823560017e-06, 5.080191613700013e-16, 2.748581728251048e-16, 2.756181399587519e-20, 9.745499161440373e-16, 9.976947009146171e-12, 0.0010023106257688544, 6.765e-05
4.667693058373973e-22, 1.4179321736015196e-09, 2.1410775821382944e-11, 2.997880079436804e-05, 1.3590767168171252e-21, 4.688657521352433e-06, 1.3944459557063104e-11, 1.9928748720958154e-06, 1.2575040442921533e-05, 3.0165629810997574e-05, 6.772364765886746e-15, 2.8169121729950873e-06, 5.161299227982332e-16, 2.7917810547090246e-16, 2.8466908926000993e-20, 9.805245303123828e-16, 1.0245764794540829e-11, 0.0009760130356816528, 6.765e-05
4.762785933887898e-22, 1.420765274344786e-09, 2.1453555642606272e-11, 3.0095814049293064e-05, 1.4045113709209918e-21, 4.572014048103301e-06, 1.4028556983904543e-11, 2.0010325623863658e-06, 1.262651546865489e-05, 3.0159727582989985e-05, 6.8118718700914105e-15, 2.822444901664914e-06, 5.244945618212541e-16, 2.836327296298401e-16, 2.941852755126162e-20, 9.865053926054186e-16, 1.0528146859367382e-11, 0.0009498347746833086, 6.765e-05
4.860982752924142e-22, 1.4235834448178907e-09, 2.1496110016750152e-11, 3.0212816077572907e-05, 1.4523391018643226e-21, 4.455392481843229e-06, 1.4112861095790378e-11, 2.009190252702459e-06, 1.2677990494549403e-05, 3.0153836581420286e-05, 6.8514656446189495e-15, 2.827955738171727e-06, 5.331311492626858e-16, 2.8823166183413863e-16, 3.042026800464158e-20, 9.924918847741676e-16, 1.082514777183541e-11, 0.0009237749184373946, 6.765e-05
4.962496761017419e-22, 1.4263858863589602e-09, 2.1538426884020312e-11, 3.0329806750440558e-05, 1.502749846748294e-21, 4.338793408425679e-06, 1.4197375530037891e-11, 2.0173479430183168e-06, 1.2729465520442449e-05, 3.014795693505165e-05, 6.891147851643133e-15, 2.833444097832306e-06, 5.420596583798495e-16, 2.9298553167678156e-16, 3.147610842362929e-20, 9.984833209177645e-16, 1.113793410331617e-11, 0.0008978325699577119, 6.765e-05
5.067564015757153e-22, 1.4291717031682937e-09, 2.1580492717841214e-11, 3.0446785904182484e-05, 1.5559541415091821e-21, 4.222217474610412e-06, 1.4282104305356697e-11, 2.025505633306098e-06, 1.278094054615834e-05, 3.0142088807593126e-05, 6.930920443877194e-15, 2.838909335184764e-06, 5.513022221204693e-16, 2.9790611882706476e-16, 3.259045837867264e-20, 1.004478937814728e-15, 1.1467799680965534e-11, 0.0008720068607928498, 6.765e-05
5.176446555281199e-22, 1.4319398881798753e-09, 2.1622292311516135e-11, 3.0563753334729184e-05, 1.6121859855073929e-21, 4.105665395296606e-06, 1.4367051868370023e-11, 2.03366332353569e-06, 1.2832415571507045e-05, 3.013623240311059e-05, 6.970785588170756e-15, 2.8443507367732986e-06, 5.608834332192254e-16, 3.0300651286599577e-16, 3.376821886994579e-20, 1.0104778835772515e-15, 1.1816183399182464e-11, 0.0008462969524230538, 6.765e-05
