
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
9.279087762766838e-15, 2.1065720444561575e-05, 3.1809237871288e-07, 5.254532610217891e-06, 1.0091070868329938e-20, 7.701033070543321e-06, 8.090270241704425e-16, 3.8463697765382243e-07, 2.427059328995819e-06, 7.163291249830562e-13, 3.858744651116345e-29, 8.300617104447561e-09, 1.390088363079043e-15, 4.8687634781408815e-28, 6.4215847565259835e-25, 2.811621299930637e-12, 9.267673516958866e-08, 1.0790194520449015e-07, 3.9904533218025604e-05
9.475257841455562e-15, 2.0824613306189172e-05, 3.1445166092345676e-07, 5.504731092377617e-06, 1.0866481052654488e-20, 7.69949648643488e-06, 8.707265738119746e-16, 4.02950547281024e-07, 2.5426179533434607e-06, 7.885453610241269e-13, 4.926114774189108e-29, 8.794756168911087e-09, 1.491558245460045e-15, 6.060810271486024e-28, 7.61177878865348e-25, 2.9117773967166035e-12, 9.163428976645038e-08, 1.0912945389206532e-07, 4.0154731772760194e-05
9.660613692468178e-15, 2.0572031461482883e-05, 3.106376750683915e-07, 5.766842958833621e-06, 1.1688570763580061e-20, 7.697874239839595e-06, 9.368942739302493e-16, 4.2213571384036945e-07, 2.6636763543329267e-06, 8.689950491509218e-13, 6.293137113699088e-29, 9.32464701053364e-09, 1.5997145718559537e-15, 7.552666443856979e-28, 9.02249656079362e-25, 3.0134136472446734e-12, 9.054193365299336e-08, 1.10446061802982e-07, 4.041684372002536e-05
9.833242078781922e-15, 2.0307429757540844e-05, 3.066421893388666e-07, 6.0414354736747275e-06, 1.255802624115168e-20, 7.696160539992848e-06, 1.0077780646650886e-15, 4.422338883202031e-07, 2.7904958353006726e-06, 9.587444351827732e-13, 8.045559093845799e-29, 9.893679751726818e-09, 1.7148180788310459e-15, 9.421709789226001e-28, 1.0694216626821751e-24, 3.116279866973463e-12, 8.93972661888207e-08, 1.1186024390140152e-07, 4.069143632497472e-05
9.991086345286075e-15, 2.003023732328753e-05, 3.024565835816418e-07, 6.3291029115875615e-06, 1.3475116418047612e-20, 7.694349050541977e-06, 1.0836231425214531e-15, 4.6328843553578863e-07, 2.9233500282310124e-06, 1.0590192324518133e-12, 1.0294279591821383e-28, 1.0505673931050153e-08, 1.8371008994150222e-15, 1.176582138624369e-27, 1.267468242341032e-24, 3.220082727187843e-12, 8.819777056139476e-08, 1.1338155076197722e-07, 4.0979103863519214e-05
1.0131946755307361e-14, 1.9739856393248195e-05, 2.980718315380478e-07, 6.630467843968146e-06, 1.443959888073126e-20, 7.692432813583674e-06, 1.1646675523662596e-15, 4.853447635102339e-07, 3.0625254577497565e-06, 1.1712326671771005e-12, 1.3182966063114994e-28, 1.1164948856211492e-08, 1.966756120046462e-15, 1.4708977302614432e-27, 1.5020149442135731e-24, 3.3244806682989985e-12, 8.694080817655064e-08, 1.1502078494247496e-07, 4.1280468908464654e-05
1.0253483274829543e-14, 1.9435661086081012e-05, 2.934784823998234e-07, 6.946182486262328e-06, 1.5450612551064413e-20, 7.690404159129387e-06, 1.2511366956181643e-15, 5.084504162956142e-07, 3.2083221268255046e-06, 1.297019382451421e-12, 1.6898075406203562e-28, 1.187640827917467e-08, 2.103925282636514e-15, 1.840841817776411e-27, 1.7796828226290093e-24, 3.4290782792127242e-12, 8.562361280011245e-08, 1.1679021327148283e-07, 4.159618367688967e-05
1.0353221384907957e-14, 1.911699613847124e-05, 2.8866664169091556e-07, 7.276930109458228e-06, 1.6506555963581825e-20, 7.688254596479991e-06, 1.343236544999635e-15, 5.326551701885658e-07, 3.36105412389002e-06, 1.4382766537662683e-12, 2.168207787759306e-28, 1.2645642912965692e-08, 2.2486835123068654e-15, 2.3063861848543755e-27, 2.1082547985134765e-24, 3.5334200901029986e-12, 8.424328444791156e-08, 1.1870382387789139e-07, 4.1926931441680057e-05
1.0428561599584709e-14, 1.8783175595884804e-05, 2.8362595149786027e-07, 7.623426518788925e-06, 1.7604950089089933e-20, 7.685974682962265e-06, 1.4411453194708079e-15, 5.58011133229389e-07, 3.521050250677609e-06, 1.5972147934531019e-12, 2.7850967093481588e-28, 1.3479055333367095e-08, 2.4010219142503815e-15, 2.892936808579094e-27, 2.4968666690714483e-24, 3.636983721166784e-12, 8.279678302498823e-08, 1.207776393556496e-07, 4.227342801027443e-05
1.0476793475034726e-14, 1.843348146277746e-05, 2.783455700879397e-07, 7.986421602821113e-06, 1.8742284798192788e-20, 7.683553864121786e-06, 1.54500333018617e-15, 5.84572847784019e-07, 3.6886546695173145e-06, 1.7764191904347295e-12, 3.5817531880386026e-28, 1.438401317967159e-08, 2.560826845346757e-15, 3.632865996889048e-27, 2.956225372342998e-24, 3.739172324856061e-12, 8.128092171888929e-08, 1.2303010089606364e-07, 4.2636423273821466e-05
1.0495115016564844e-14, 1.8067162316587964e-05, 2.728141509804783e-07, 8.366700956295699e-06, 1.9913848292227336e-20, 7.680980277614088e-06, 1.6549006586596194e-15, 6.12397395882687e-07, 3.864227568019898e-06, 1.9789272020824493e-12, 4.612241338672436e-28, 1.536903842268683e-08, 2.7278556293223718e-15, 4.5674965493146264e-27, 3.498857004610177e-24, 3.839306253766461e-12, 7.969236015900904e-08, 1.2548254286919275e-07, 4.301670283010137e-05
1.0480658522883736e-14, 1.7683431892137542e-05, 2.670198215712769e-07, 8.76508758024597e-06, 2.1113539181736767e-20, 7.678240510514179e-06, 1.7708622707750962e-15, 6.415445068151989e-07, 4.048145838004036e-06, 2.208324169141459e-12, 5.947574081163782e-28, 1.6444043002187835e-08, 2.901708250746194e-15, 5.749679829371172e-27, 4.139386786537647e-24, 3.936613880854323e-12, 7.802759736326577e-08, 1.2815978369094125e-07, 4.341508968372407e-05
1.0430524050913906e-14, 1.7281467646169838e-05, 2.6095016145716466e-07, 9.182443663015148e-06, 2.233366140001734e-20, 7.67531929627286e-06, 1.8928301037554812e-15, 6.720766662375264e-07, 4.240803763958913e-06, 2.4688642836179385e-12, 7.6813231351065855e-28, 1.7620624638497855e-08, 3.081794536552183e-15, 7.247157852939736e-27, 4.8948525949259386e-24, 4.030221493064169e-12, 7.628296450635423e-08, 1.3109086759688028e-07, 4.383244602728351e-05
1.0341821838289956e-14, 1.686040931653203e-05, 2.5459218067963375e-07, 9.619672446068266e-06, 2.356470284943875e-20, 7.672199132671172e-06, 2.0206415866695773e-15, 7.040592256975714e-07, 4.442613714151785e-06, 2.765624083475477e-12, 9.937220487049113e-28, 1.891244152246052e-08, 3.267296319403817e-15, 9.146966403472717e-27, 5.785052711162031e-24, 4.119142174097316e-12, 7.445461756392975e-08, 1.3431000423061195e-07, 4.426967510732309e-05
1.0211725179941545e-14, 1.6419357496805952e-05, 2.4793229820176965e-07, 1.0077720178627175e-05, 2.4795099646335905e-20, 7.668859795204163e-06, 2.154003967253174e-15, 7.375605109915025e-07, 4.654006824356472e-06, 3.104699249513421e-12, 1.2879523066215148e-27, 2.0335691532646225e-08, 3.457124082231115e-15, 1.1561229484130303e-26, 6.832926931278428e-24, 4.202263587145371e-12, 7.253852991399269e-08, 1.3785777037192203e-07, 4.472772317915028e-05
1.0037535415494285e-14, 1.5957372256866005e-05, 2.409563210786767e-07, 1.0557578165291593e-05, 2.6010989132234286e-20, 7.665277710387933e-06, 2.292463717819089e-15, 7.726519270432132e-07, 4.875433659642757e-06, 3.493459557704722e-12, 1.67272447423048e-27, 2.1909731610207163e-08, 3.6498676183493795e-15, 1.4634827425909647e-26, 8.064967949018918e-24, 4.278334564725776e-12, 7.053048501833867e-08, 1.4178266316189226e-07, 4.520758155473137e-05
9.816760836236519e-15, 1.5473471853599754e-05, 2.3364942498935643e-07, 1.1060284911119195e-05, 2.7195956547485925e-20, 7.661425138972353e-06, 2.435370180028245e-15, 8.094080559443861e-07, 5.107364833009147e-06, 3.940882949853393e-12, 2.1773853726715866e-27, 2.3657887490026542e-08, 3.843740321438334e-15, 1.8555610503400063e-26, 9.511656703828413e-24, 4.3459504110866225e-12, 6.842606936660366e-08, 1.4614313071854812e-07, 4.571028874809818e-05
9.547211451175896e-15, 1.4966631596751404e-05, 2.2599613711094626e-07, 1.1586928368745401e-05, 2.833078253574231e-20, 7.65726909751692e-06, 2.5818324820865895e-15, 8.479067432206832e-07, 5.350291549722561e-06, 4.457998771012035e-12, 2.8414778665668368e-27, 2.5608525604379192e-08, 4.03651686515225e-15, 2.3568106319865028e-26, 1.1207910862866481e-23, 4.4035368246810155e-12, 6.622066595573447e-08, 1.5101026025145308e-07, 4.623693272290994e-05
9.22711164215619e-15, 1.4435782966278e-05, 2.1798032279079774e-07, 1.2138648292368154e-05, 2.939320161723762e-20, 7.652769914258672e-06, 2.7306686235791906e-15, 8.882291650069302e-07, 5.60472603119377e-06, 5.058483983823866e-12, 3.71862098947229e-27, 2.779649163985065e-08, 4.225464272842482e-15, 2.99920806350898e-26, 1.3193529376771958e-23, 4.449332356540335e-12, 6.390944871530906e-08, 1.564713857030122e-07, 4.6788653247034496e-05
8.855232759392072e-15, 1.3879813125952547e-05, 2.0958517820188328e-07, 1.2716638703625463e-05, 3.035768562983272e-20, 7.647879265068886e-06, 2.880345475778705e-15, 9.304598651334654e-07, 5.871201748992183e-06, 5.759477438526607e-12, 4.882046907805545e-27, 3.026507057529234e-08, 4.407266755538424e-15, 3.8247935175318504e-26, 1.5513607620121726e-23, 4.4813693393482975e-12, 6.14873785014282e-08, 1.626350032107439e-07, 4.736664435924475e-05
8.431047620886098e-15, 1.3297565054515776e-05, 2.0079323232318819e-07, 1.3322150474619004e-05, 3.119527114730036e-20, 7.642537456312234e-06, 3.0289082962842396e-15, 9.746867453183402e-07, 6.150273362958731e-06, 6.582710885014256e-12, 6.432607215929979e-27, 3.3068702344602637e-08, 4.5779452710068376e-15, 4.8891896552046344e-26, 1.8218886431157137e-23, 4.497453259320487e-12, 5.894920161904781e-08, 1.696375816015933e-07, 4.797215695336863e-05
7.954908622615456e-15, 1.2687838639113226e-05, 1.9158636345060988e-07, 1.3956494033514157e-05, 3.1873456385900276e-20, 7.636669593957097e-06, 3.173898221265812e-15, 1.0210009822763856e-06, 6.442516198163978e-06, 7.556109839537827e-12, 8.510527030510497e-27, 3.627681528149425e-08, 4.7327736150805545e-15, 6.2665499523137e-26, 2.1365983795330387e-23, 4.495140611844038e-12, 5.6289452377066756e-08, 1.7765317617611365e-07, 4.860650148548535e-05
7.428250657210418e-15, 1.2049393280768662e-05, 1.8194583853960687e-07, 1.4621042198312686e-05, 3.235620157798081e-20, 7.630180066948526e-06, 3.3122561064508787e-15, 1.0694968299869123e-06, 6.748524997217393e-06, 8.716108003174014e-12, 1.1312967255235075e-26, 3.997935174418235e-08, 4.8661941268264066e-15, 8.056641659940524e-26, 2.5017439454464254e-23, 4.471715406487089e-12, 5.350246208606608e-08, 1.8690728632102244e-07, 4.927105081002681e-05
6.8538191552411366e-15, 1.1380952912016277e-05, 1.7185238897144576e-07, 1.5317233144581843e-05, 3.260407790720693e-20, 7.622944411770211e-06, 3.44021109841676e-15, 1.1202712387461068e-06, 7.068911516487899e-06, 1.011107438378046e-11, 1.5120807495700726e-26, 4.429492295319091e-08, 4.971737965493539e-15, 1.0395202069634894e-25, 2.924148027455884e-23, 4.424164712540297e-12, 5.058237845770771e-08, 1.9769730694575921e-07, 4.996724315092217e-05
6.235922129132161e-15, 1.0681214946237357e-05, 1.6128634568818408e-07, 1.6046573512855362e-05, 3.257462490596298e-20, 7.614796986912728e-06, 3.553152549142967e-15, 1.1734231755734711e-06, 7.404300237868553e-06, 1.1806528428329768e-11, 2.0340481786482523e-26, 4.938317102362415e-08, 5.0419577035645256e-15, 1.3469472390872717e-25, 3.4111388822437064e-23, 4.3491540502555344e-12, 4.7523202105384206e-08, 2.1042353118008931e-07, 5.069658521421567e-05
5.580702858576484e-15, 9.948865816310312e-06, 1.5022787382628575e-07, 1.6810641661267594e-05, 3.222299643151792e-20, 7.605511713785026e-06, 3.64548458321204e-15, 1.229052444093736e-06, 7.755320922231417e-06, 1.3893328678214231e-11, 2.757120299158875e-26, 5.546409339274804e-08, 5.068384176122345e-15, 1.754222465276232e-25, 3.970433333335523e-23, 4.243004212440196e-12, 4.4318851883268014e-08, 2.2563761413177233e-07, 5.146065544889406e-05
4.896426426821371e-15, 9.18260794437935e-06, 1.3865737996012828e-07, 1.7611091068325195e-05, 3.150300405547408e-20, 7.594770891056428e-06, 3.710464311503557e-15, 1.2872576360929248e-06, 8.122595683746295e-06, 1.6501006429923918e-11, 3.7716683391396096e-26, 6.284934406404893e-08, 5.041526003690185e-15, 2.299032611478705e-25, 4.609950546665079e-23, 4.101672621297802e-12, 4.0963280472161315e-08, 2.4412107342809153e-07, 5.226110746298082e-05
4.193768120855148e-15, 8.381207394332337e-06, 1.265562316544183e-07, 1.84496538889852e-05, 3.0368710067339866e-20, 7.582112548149519e-06, 3.7400285373251356e-15, 1.3481325119639524e-06, 8.506716150492482e-06, 1.9820422966598758e-11, 5.21784698318673e-26, 7.199508688554985e-08, 4.950940607671939e-15, 3.036946503565216e-25, 5.337544282901502e-23, 3.920745427166564e-12, 3.745068115036665e-08, 2.6701784033912284e-07, 5.309967360229034e-05
3.4860838285433882e-15, 7.543580901177332e-06, 1.1390807160777763e-07, 1.932814466332051e-05, 2.877679383488504e-20, 7.5668370797684084e-06, 3.724622650024631e-15, 1.4117593899556543e-06, 8.908201750620117e-06, 2.414427063741492e-11, 7.320736436087397e-26, 8.35957417402168e-08, 4.785423268560833e-15, 4.052882593116637e-25, 6.160656449374588e-23, 3.6954532459148084e-12, 3.377586851258501e-08, 2.9606936669219814e-07, 5.3978168699587005e-05
2.7896304396330103e-15, 6.66896263940208e-06, 1.0070133585497137e-07, 2.0248464167259767e-05, 2.6690048013895125e-20, 7.547831590907304e-06, 3.653066552208629e-15, 1.478196478162498e-06, 9.327419777205303e-06, 2.994402953135588e-11, 1.0458198308205032e-25, 9.876037295367829e-08, 4.533393687276573e-15, 5.4828113248821955e-25, 7.085943341071244e-23, 3.4207388686465085e-12, 2.993501188493196e-08, 3.3405699113931485e-07, 5.4898494002263475e-05
2.123684852555155e-15, 5.7572450587084095e-06, 8.693440038649706e-08, 2.1212603369665035e-05, 2.4082644766600163e-20, 7.523214810808911e-06, 3.5125465019906385e-15, 1.5474519836802143e-06, 9.764422017022107e-06, 3.802755074268153e-11, 1.5302162490892095e-25, 1.1936927927788093e-07, 4.183627990089889e-15, 7.558301265410355e-25, 8.119070525331219e-23, 3.0914439191527013e-12, 2.592713926700937e-08, 3.856962350151897e-07, 5.5862641287038265e-05
1.51047623870165e-15, 4.809736262168658e-06, 7.262701755874675e-08, 2.2222647388812722e-05, 2.0948519071111194e-20, 7.489552885352347e-06, 3.2889729504430587e-15, 1.6194265795204665e-06, 1.0218581716774117e-05, 4.9893239597643056e-11, 2.3142348062140747e-25, 1.4886155019056268e-07, 3.726648348027499e-15, 1.0707714584054743e-24, 9.265314588633764e-23, 2.7027881157491955e-12, 2.17574860168565e-08, 4.5961192355828943e-07, 5.687269717057772e-05
9.74774505963543e-16, 3.831031947015744e-06, 5.78485823999377e-08, 2.328077911295993e-05, 1.7316275273051835e-20, 7.4399272834843975e-06, 2.968418704955465e-15, 1.6937712047420264e-06, 1.0687696301922163e-05, 6.862530816628489e-11, 3.6725278698332324e-25, 1.941754457226192e-07, 3.1575451355519004e-15, 1.5817695398135547e-24, 1.0533084636253403e-22, 2.2516453837736363e-12, 1.7445781106272515e-08, 5.732044864649004e-07, 5.7930847625371526e-05
5.427670642826597e-16, 2.834277675510756e-06, 4.27975929002124e-08, 2.4389281311836784e-05, 1.3280944676330966e-20, 7.3585114996166885e-06, 2.5420430358482574e-15, 1.7694873208117489e-06, 1.1165464994322119e-05, 1.0151322785121514e-10, 6.280343612348642e-25, 2.7119500348676455e-07, 2.482536990989615e-15, 2.5029733625880912e-24, 1.1948055786896199e-22, 1.7402807883625834e-12, 1.3049556536318652e-08, 7.663095655525664e-07, 5.9039382710635076e-05
2.389307311240747e-16, 1.857832837738086e-06, 2.8053275849845125e-08, 2.5550532607071288e-05, 9.087437224642316e-21, 7.203407904874039e-06, 2.0234503589684114e-15, 1.8436610459819988e-06, 1.1633501200146415e-05, 1.690374084347918e-10, 1.2149643996065939e-24, 4.219870383153355e-07, 1.737054673324257e-15, 4.4694475550673755e-24, 1.3609392259024286e-22, 1.1885492693885228e-12, 8.737998190035711e-09, 1.144426879305537e-06, 6.02007015284772e-05
7.484961246140783e-17, 1.0120919739130609e-06, 1.528258880608721e-08, 2.676698114275397e-05, 5.3407823163438204e-21, 6.858441041006822e-06, 1.5042406414905194e-15, 1.9079063944113676e-06, 1.203888934873581e-05, 3.363906944508344e-10, 2.8489577968412843e-24, 7.632155328742869e-07, 1.0336957822669732e-15, 9.785532554203525e-24, 1.5905718699778776e-22, 6.700489322588448e-13, 4.99963026842037e-09, 2.000147903568776e-06, 6.141731741605969e-05
